TIA,Albania,AIR BP-A/BP PRODUCTS NORTH AMERICA INC(BP OIL CO)/,1,4.3068,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required:Fuel Release - minimum 24 hours in advance 2) Operating Hours: OPS: 03:00 - 21:00 / Out of hours fuelling available - 24 Hours notice required 3) Ramps serviced:Can fuel on military apron 4) Additional Information: VAT applies for domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com,30-Jan-19
CZL,Algeria,NAFTAL-A/NAFTAL SPA/,1,3.13689,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",Additional Comments: VAT applies on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable For more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
CZL,Algeria,NAFTAL-A/NAFTAL SPA/,265,3.03689,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",Additional Comments: VAT applies on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable For more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
DJG,Algeria,NAFTAL-A/NAFTAL SPA/,1,3.57219,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",- Minimum Notice Required:72 HRS PRIOR NOTICE REQUIRED BY SUPPLIER. - Additional Comments: Operating hours 0700am to 1900pm The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable for more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
DJG,Algeria,NAFTAL-A/NAFTAL SPA/,265,3.47219,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",- Minimum Notice Required:72 HRS PRIOR NOTICE REQUIRED BY SUPPLIER. - Additional Comments: Operating hours 0700am to 1900pm The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable for more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
EBH,Algeria,NAFTAL-A/NAFTAL SPA/,1,3.16789,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",Minimum Notice Required:72 HOURS PRIOR NOTICE Additional Comments: The WFS invoice will state Third party charges this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. For more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
EBH,Algeria,NAFTAL-A/NAFTAL SPA/,265,3.06789,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",Minimum Notice Required:72 HOURS PRIOR NOTICE Additional Comments: The WFS invoice will state Third party charges this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. For more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
ELG,Algeria,NAFTAL-A/NAFTAL SPA/,1,3.05439,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",72 HRS PRIOR NOTICE REQUIRED BY SUPPLIER.Additional taxes/fees: .0110 Airport Tax on all fuelings; 19% VAT on domestic flights. The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable,21-Jul-19
ELG,Algeria,NAFTAL-A/NAFTAL SPA/,265,2.95439,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",72 HRS PRIOR NOTICE REQUIRED BY SUPPLIER.Additional taxes/fees: .0110 Airport Tax on all fuelings; 19% VAT on domestic flights. The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable,21-Jul-19
ELU,Algeria,NAFTAL-A/NAFTAL SPA/,1,2.99759,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",Minimum Notice Required:72 HRS PRIOR NOTICE REQUIRED BY SUPPLIER. Additional Comments: Operating hours 0700am to 1900pm VAT applies on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable For more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
ELU,Algeria,NAFTAL-A/NAFTAL SPA/,265,2.89759,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",Minimum Notice Required:72 HRS PRIOR NOTICE REQUIRED BY SUPPLIER. Additional Comments: Operating hours 0700am to 1900pm VAT applies on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable For more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
GHA,Algeria,NAFTAL-A/NAFTAL SPA/,1,2.99759,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Comments: VAT applies on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. for more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
GHA,Algeria,NAFTAL-A/NAFTAL SPA/,265,2.89759,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Comments: VAT applies on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. for more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
HME,Algeria,NAFTAL-A/NAFTAL SPA/,1,2.95969,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Comments: VAT applies on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. for more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
HME,Algeria,NAFTAL-A/NAFTAL SPA/,265,2.85969,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Comments: VAT applies on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. for more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
HRM,Algeria,NAFTAL-A/NAFTAL SPA/,1,3.01649,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",19% VAT applies on domestic flights. The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable,21-Jul-19
HRM,Algeria,NAFTAL-A/NAFTAL SPA/,265,2.91649,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",19% VAT applies on domestic flights. The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable,21-Jul-19
IAM,Algeria,NAFTAL-A/NAFTAL SPA/,1,3.05439,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",Additional Comments: VAT applies on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable For more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
IAM,Algeria,NAFTAL-A/NAFTAL SPA/,265,2.95439,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",Additional Comments: VAT applies on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable For more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
INZ,Algeria,NAFTAL-A/NAFTAL SPA/,1,3.24039,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",19% VAT applies on domestic flights. The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable,21-Jul-19
INZ,Algeria,NAFTAL-A/NAFTAL SPA/,265,3.14039,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",19% VAT applies on domestic flights. The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable,21-Jul-19
LOO,Algeria,NAFTAL-A/NAFTAL SPA/,1,3.01649,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Comments: Operating hours 0700am to 1900pm The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. for more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
