"TIA","Albania","AIR BP-A/BP PRODUCTS NORTH AMERICA INC(BP OIL CO)/",1,4.18233,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Please note that the only card BP accept is their own Sterling Card therefor please pre-arrange fuel.///VAT applies for domestic flights. Able to access the military apron","15-JAN-2019"
"AZR","Algeria","NAFTAL-A/NAFTAL SPA/",1,3.15389,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Night fee (overtime fee) $60.00 Additional taxes/fees: .0110 Airport Tax on all fuelings; 19% VAT on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. BH 18th April 2017","11-JAN-2019"
"AZR","Algeria","NAFTAL-A/NAFTAL SPA/",265,3.05389,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Night fee (overtime fee) $60.00 Additional taxes/fees: .0110 Airport Tax on all fuelings; 19% VAT on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. BH 18th April 2017","11-JAN-2019"
"BJA","Algeria","NAFTAL-A/NAFTAL SPA/",1,2.93889,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Additional taxes/fees: .0110 Airport Tax on all fuelings. 19% VAT on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable, VAT is 19 % from the 01st January 2017 BH 18th April 2017","11-JAN-2019"
"BJA","Algeria","NAFTAL-A/NAFTAL SPA/",265,2.83889,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Additional taxes/fees: .0110 Airport Tax on all fuelings. 19% VAT on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable, VAT is 19 % from the 01st January 2017 BH 18th April 2017","11-JAN-2019"
"BLJ","Algeria","NAFTAL-A/NAFTAL SPA/",1,2.67389,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","19% VAT applies on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable BH 18th April 2017","11-JAN-2019"
"BLJ","Algeria","NAFTAL-A/NAFTAL SPA/",265,2.57389,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","19% VAT applies on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable BH 18th April 2017","11-JAN-2019"
"BMW","Algeria","NAFTAL-A/NAFTAL SPA/",1,3.09029,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","72 HRS PRIOR NOTICE REQUIRED BY SUPPLIER.19% VAT applies on domestic flights. The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. VAT is 19 % from the 01st January 2017 BH 18th April 2017","11-JAN-2019"
"BMW","Algeria","NAFTAL-A/NAFTAL SPA/",265,2.99029,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","72 HRS PRIOR NOTICE REQUIRED BY SUPPLIER.19% VAT applies on domestic flights. The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. VAT is 19 % from the 01st January 2017 BH 18th April 2017","11-JAN-2019"
"BSK","Algeria","NAFTAL-A/NAFTAL SPA/",1,2.84569,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","72 HRS PRIOR NOTICE REQUIRED BY SUPPLIER.19% VAT applies on domestic flights. The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable","11-JAN-2019"
"BSK","Algeria","NAFTAL-A/NAFTAL SPA/",265,2.74569,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","72 HRS PRIOR NOTICE REQUIRED BY SUPPLIER.19% VAT applies on domestic flights. The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable","11-JAN-2019"
"CBH","Algeria","NAFTAL-A/NAFTAL SPA/",1,2.90099,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable.","11-JAN-2019"
"CBH","Algeria","NAFTAL-A/NAFTAL SPA/",265,2.80099,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable.","11-JAN-2019"
"CFK","Algeria","NAFTAL-A/NAFTAL SPA/",1,2.73069,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","N/A","11-JAN-2019"
"CFK","Algeria","NAFTAL-A/NAFTAL SPA/",265,2.63069,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","N/A","11-JAN-2019"
"CZL","Algeria","NAFTAL-A/NAFTAL SPA/",1,2.86999,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","19% VAT applies on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable BH 18th april 2017","11-JAN-2019"
"CZL","Algeria","NAFTAL-A/NAFTAL SPA/",265,2.76999,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","19% VAT applies on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable BH 18th april 2017","11-JAN-2019"
"DJG","Algeria","NAFTAL-A/NAFTAL SPA/",1,3.30529,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","72 HRS PRIOR NOTICE REQUIRED BY SUPPLIER.19% VAT applies on domestic flights. The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable BH 18th april 2017","11-JAN-2019"
"DJG","Algeria","NAFTAL-A/NAFTAL SPA/",265,3.20529,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","72 HRS PRIOR NOTICE REQUIRED BY SUPPLIER.19% VAT applies on domestic flights. The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable BH 18th april 2017","11-JAN-2019"
"EBH","Algeria","NAFTAL-A/NAFTAL SPA/",1,2.90099,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Supplier is not physically present at EBH, a truck can be arranged but requires time hence 72 HRS PRIOR NOTICE REQUIRED BY SUPPLIER. Price is subject to change and must be confirmed with supplier prior to setting fuel. Please confirm each order. Alternate location on offer is DAOO. In addition to the cost of the JET A1, there is an additional charge of 6500 usd/day (charges for the human and materiel means that are arranged there) which must be confirmed by Naftal. IF the aircraft did not operate and SO was not cancelled by the customer / WFS to NAFATL, the charge of 6500 USD will remain applicable. The WFS invoice will state Third party charges this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. VAT is 19 % from the 01st January 2017 BH 18th April 2017","11-JAN-2019"
"EBH","Algeria","NAFTAL-A/NAFTAL SPA/",265,2.80099,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Supplier is not physically present at EBH, a truck can be arranged but requires time hence 72 HRS PRIOR NOTICE REQUIRED BY SUPPLIER. Price is subject to change and must be confirmed with supplier prior to setting fuel. Please confirm each order. Alternate location on offer is DAOO. In addition to the cost of the JET A1, there is an additional charge of 6500 usd/day (charges for the human and materiel means that are arranged there) which must be confirmed by Naftal. IF the aircraft did not operate and SO was not cancelled by the customer / WFS to NAFATL, the charge of 6500 USD will remain applicable. The WFS invoice will state Third party charges this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. VAT is 19 % from the 01st January 2017 BH 18th April 2017","11-JAN-2019"
"ELG","Algeria","NAFTAL-A/NAFTAL SPA/",1,2.78749,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","72 HRS PRIOR NOTICE REQUIRED BY SUPPLIER.Additional taxes/fees: .0110 Airport Tax on all fuelings; 19% VAT on domestic flights. The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable","11-JAN-2019"
"ELG","Algeria","NAFTAL-A/NAFTAL SPA/",265,2.68749,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","72 HRS PRIOR NOTICE REQUIRED BY SUPPLIER.Additional taxes/fees: .0110 Airport Tax on all fuelings; 19% VAT on domestic flights. The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable","11-JAN-2019"
"ELU","Algeria","NAFTAL-A/NAFTAL SPA/",1,2.73069,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","72 HRS PRIOR NOTICE REQUIRED BY SUPPLIER.17% VAT applies on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. BH 18th April 2017","11-JAN-2019"
"ELU","Algeria","NAFTAL-A/NAFTAL SPA/",265,2.63069,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","72 HRS PRIOR NOTICE REQUIRED BY SUPPLIER.17% VAT applies on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. BH 18th April 2017","11-JAN-2019"
"GHA","Algeria","NAFTAL-A/NAFTAL SPA/",1,2.73069,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","19% VAT applies on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. BH 18th April 2017","11-JAN-2019"
"GHA","Algeria","NAFTAL-A/NAFTAL SPA/",265,2.63069,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","19% VAT applies on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. BH 18th April 2017","11-JAN-2019"
"HME","Algeria","NAFTAL-A/NAFTAL SPA/",1,2.69279,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","19% VAT applies on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. VAT is 19 % BH 18th April 2017","11-JAN-2019"
"HME","Algeria","NAFTAL-A/NAFTAL SPA/",265,2.59279,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","19% VAT applies on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. VAT is 19 % BH 18th April 2017","11-JAN-2019"
"HRM","Algeria","NAFTAL-A/NAFTAL SPA/",1,2.74959,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","19% VAT applies on domestic flights. The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable","11-JAN-2019"
"HRM","Algeria","NAFTAL-A/NAFTAL SPA/",265,2.64959,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","19% VAT applies on domestic flights. The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable","11-JAN-2019"
"IAM","Algeria","NAFTAL-A/NAFTAL SPA/",1,2.78749,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","$60 overtime fee 19% VAT applies on domestic flight BH 18th April 2017 The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable","11-JAN-2019"
"IAM","Algeria","NAFTAL-A/NAFTAL SPA/",265,2.68749,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","$60 overtime fee 19% VAT applies on domestic flight BH 18th April 2017 The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable","11-JAN-2019"
"INZ","Algeria","NAFTAL-A/NAFTAL SPA/",1,2.97349,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","19% VAT applies on domestic flights. The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable","11-JAN-2019"
"INZ","Algeria","NAFTAL-A/NAFTAL SPA/",265,2.87349,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","19% VAT applies on domestic flights. The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable","11-JAN-2019"
"LOO","Algeria","NAFTAL-A/NAFTAL SPA/",1,2.74959,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. VAT is 19 % BH 18th April 2017","11-JAN-2019"
"LOO","Algeria","NAFTAL-A/NAFTAL SPA/",265,2.64959,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. VAT is 19 % BH 18th April 2017","11-JAN-2019"
